"","residence_camp","ref","sex","birthplace","age","have_children","children_alive","children_dead","median_dist","max_dist","region"
"251","Misseké_MI","MI153","F","Attention","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"252","Mongo","MI134","M","Minganga","Adulte",1,"5","0",18393.959805217,75418.3640866476,"Minganga"
"253","Mongo","MI135","F","Minganga","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"254","Mongo","MI136","F","Mossombo","Adulte",1,"5","2",18393.959805217,75418.3640866476,"Minganga"
"255","Mongo","MI137","F","Mossombo","Personne âgée",1,"4","2",22113.3533488251,75418.3640866476,"Minganga"
"256","Mongo","MI138","M","Mbili","Adulte",1,"5","2",22163.3266366827,100788.534058252,"Minganga"
"257","Mongo","MI139","F","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"258","Mongo","MI140","M","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"259","Mongo","MI141","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"260","Mongo","MI142","M","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"261","Mongo","MI143","M","Mossombo","Adulte",0,"0",NA,22163.3266366827,104446.903592996,"Minganga"
"262","Mossombo","MI144","M","Mossombo","Adulte",1,"2","1",19519.0130261955,118722.969081108,"Minganga"
"263","Ngata","MI182","F","Mbili","",0,"0",NA,NA,-Inf,"Minganga"
"264","Ngata","MI183","F","Mbili","Personne âgée",1,"6","3",36649.0094919975,61607.9510970179,"Minganga"
"265","Ngata","MI184","M","Ikelemba","Adulte",0,"0",NA,NA,-Inf,"Minganga"
"266","Ngata","MI185","M","Mbili","Adolescent",1,"1","0",61607.9510970179,137232.11808,"Minganga"
"267","Ngata","MI194","F","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
