"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"193","Payo","M225","M","Bangui","Enfant","0",NA,-Inf,"Macao"
"194","Payo","M227","F","Bangui","Adulte","1",46141.221811587,46141.221811587,"Macao"
"195","Payo","M228","F","Djoube","Adulte","7",1597.3212503376,1597.3212503376,"Macao"
"196","Payo","M229","M","Bangui","Adulte","5",84649.1604536787,97371.5452443948,"Macao"
"197","Payo","M230","M","Macao","Adulte","Erreur",46141.221811587,46141.221811587,"Macao"
"198","Payo","M231","F","Bangui","Enfant","0",NA,-Inf,"Macao"
"199","Payo","M232","F","Bangui","Enfant","0",NA,-Inf,"Macao"
"200","Payo","M233","M","Bangui","Enfant","0",NA,-Inf,"Macao"
"201","Payo","M234","F","Bangui","Enfant","0",NA,-Inf,"Macao"
"202","Payo","M235","F","Bangui","Enfant","0",NA,-Inf,"Macao"
"203","Payo","M236","M","Loundoungou","Enfant","0",NA,-Inf,"Macao"
"204","Bate","M237","F","Bangui","Adulte","3",NA,-Inf,"Macao"
"205","Bate","M238","M","Bandza","Adulte","3",NA,-Inf,"Macao"
"206","Bete3","M239","M","Bangui","Adulte","2",46327.0918961585,46327.0918961585,"Macao"
"207","Bete3","M240","F","Bangui","Adulte","2",NA,-Inf,"Macao"
"208","Bete3","M241","F","Bangui","Adulte","2",1418.61090347273,1418.61090347273,"Macao"
"209","Bete1","M242","M","Bangui","Adulte","5",46182.5040756221,88443.8490516258,"Macao"
"210","Bete1","M243","F","Mboule","Adulte","5",31576.5761453479,51970.7309203976,"Macao"
"211","Bete1","M244","F","Bangui","Personne âgée","3",NA,-Inf,"Macao"
"212","Bete1","M245","M","Bangui","Adulte","4",68165.329876827,88443.8490516258,"Macao"
"213","Payo","M246","M","Boua","Adulte","5",46141.221811587,97371.5452443948,"Macao"
"214","Payo","M247","F","","Personne âgée","3",50810.5834423525,128746.532594066,"Macao"
"215","Payo","M248","F","Bangui","Adulte","5",46141.221811587,46141.221811587,"Macao"
"216","Bete3","M249","M","Bangui","Enfant","0",NA,-Inf,"Macao"
"217","Bete3","M250","M","Loundoungou","Enfant","0",NA,-Inf,"Macao"
"218","Bonga1","M251","","Mboule","Adulte","5",9235.94835514658,16986.2100617771,"Macao"
"219","Bete1","M252","F","Bangui","Adolescent","1",NA,-Inf,"Macao"
"220","Bete1","M253","F","Bangui","Adulte","6",NA,-Inf,"Macao"
"221","Bete1","M254","M","Bangui","Adolescent","1",51970.7309203976,162643.817613059,"Macao"
"222","Bete1","M255","F","Bangui","Adolescent","1",NA,-Inf,"Macao"
"223","Payo","M257","F","Bangui","Adolescent","0",NA,-Inf,"Macao"
"224","Bonga1","M258","F","Bangui","Personne âgée","3",46200.1960374823,46200.1960374823,"Macao"
"225","Payo","M256","M","","Enfant","0",NA,-Inf,"Macao"
"226","Bonga1","M259","F","Bangui","Adulte","1",NA,-Inf,"Macao"
"227","Bonga1","M260","F","Bangui","Adulte","1",NA,-Inf,"Macao"
"228","Bonga1","M261","F","Bangui","Adulte","4",NA,-Inf,"Macao"
"229","Bete2","M262","F","Bangui","Adulte","5",23886.6847334389,46378.5853212635,"Macao"
"230","Bete2","M263","F","Bangui","Adulte","5",51962.4091224245,51962.4091224245,"Macao"
"231","Bete2","M264","F","Bangui","Personne âgée","1",NA,-Inf,"Macao"
"232","Bete2","M265","M","Bangui","Adulte","4",9284.70460299144,17174.6250603686,"Macao"
"233","Bete2","M266","F","Bangui","Adulte","4",NA,-Inf,"Macao"
"234","Bete2","M267","M","Bangui","Adulte","10",44460.6139627799,51962.4091224245,"Macao"
"235","Bete3","M268","F","Bangui","Adulte","3",1418.61090347273,1418.61090347273,"Macao"
"236","Bete2","M269","F","Bangui","Personne âgée","2",NA,-Inf,"Macao"
"237","Payo","M270","F","Bangui","Enfant","0",NA,-Inf,"Macao"
"238","Mboule","M271","M","Bangui","Adulte","4",47313.7964735886,47313.7964735886,"Macao"
"239","Mboule","M272","M","Mboule","Adulte","4",67113.9279836703,124305.871964981,"Macao"
"240","Mboule","M273","F","Bangui","Adolescent","0",47313.7964735886,47313.7964735886,"Macao"
"241","Mboule","M274","M","Mboule","Adolescent","0",NA,-Inf,"Macao"
"242","Mboule","M275","M","Bangui","Personne âgée","3",NA,-Inf,"Macao"
"243","Mboule","M277","F","","Personne âgée","7",41660.8331498184,47313.7964735886,"Macao"
"244","Mboule","M279","F","Mboule","Adulte","3",NA,-Inf,"Macao"
"245","Mboule","M278","M","Mboule","Adulte","3",NA,-Inf,"Macao"
"246","Mboule","M280","F","Mboule","Adulte","1",18101.5448824699,18101.5448824699,"Macao"
"247","Mboule","M281","F","Mboule","Adulte","2",67113.9279836703,79763.1730657268,"Macao"
"248","Mboule","M282","M","Bangui","Adulte","4",18101.5448824699,18101.5448824699,"Macao"
"249","Mboule","M283","F","Bangui","Adulte","2",NA,-Inf,"Macao"
"250","Mboule","M284","F","Bangui","Adulte","3",47313.7964735886,47313.7964735886,"Macao"
"251","Mboule","M285","M","Bangui","Adolescent","0",NA,-Inf,"Macao"
"252","Mboule","M286","F","Bangui","Adulte","2",NA,-Inf,"Macao"
"253","Mboule","M287","F","Bangui","Adolescent","0",18101.5448824699,18101.5448824699,"Macao"
"254","Goumakoungou2","M288","M","Mboule","Personne âgée","6",60501.5187744939,88486.2929668108,"Macao"
"255","Goumakoungou2","M373","F","Bangui","Personne âgée","1",55191.4663033573,55191.4663033573,"Macao"
"256","Goumakoungou2","M289","F","Bangui","Adulte","7",25941.248316406,55191.4663033573,"Macao"
"257","Goumakoungou2","M290","F","Bangui","Personne âgée","3",7603.19022978003,7603.19022978003,"Macao"
"258","Goumakoungou2","M291","M","Mboule","Adulte","1",45960.5443919484,119657.20404164,"Macao"
"259","Goumakoungou2","M293","M","Bangui","","0",7603.19022978003,7603.19022978003,"Macao"
"260","Goumakoungou2","M294","F","Bangui","Adolescent","0",31397.3282665687,55191.4663033573,"Macao"
"261","Goumakoungou2","M295","F","Bangui","Adolescent","0",7603.19022978003,7603.19022978003,"Macao"
"262","Keke","M296","M","Djoube","Adulte","7",31564.1086582054,73474.4781655671,"Macao"
"263","Keke","M297","F","Bangui","Adulte","6",22451.6553679332,31564.1086582054,"Macao"
"264","Mboule","M298","M","Bangui","Adolescent","0",18101.5448824699,18101.5448824699,"Macao"
"265","Keke","M501","M","Djoube","Enfant","0",NA,-Inf,"Macao"
"266","Keke","M502","F","Djoube","Enfant","0",NA,-Inf,"Macao"
"267","Keke","M299","M","Djoube","Adulte","3",36828.9567745998,60318.7114715386,"Macao"
"268","Keke","M300","F","Djoube","Adulte","3",13339.2020776609,13339.2020776609,"Macao"
"269","Keke","M301","M","Mboule","Adulte","8",70092.134560394,159480.715769916,"Macao"
"270","Keke","M302","F","","","0",NA,-Inf,"Macao"
"271","Keke","M303","F","Moumbelou","Adulte","3",40077.5884604152,60318.7114715386,"Macao"
"272","Keke","M503","F","Mboule","Personne âgée","0",NA,-Inf,"Macao"
"273","Keke","M304","F","Bobate","Adulte","1",22243.0665349273,31146.9309921936,"Macao"
"274","Keke","M305","M","Bangui","Adulte","1",26708.3952690381,40077.5884604152,"Macao"
"275","Keke","M306","M","","Adulte","5",22451.6553679332,31564.1086582054,"Macao"
"276","Keke","M307","F","Mafoueté","Adulte","4",22451.6553679332,31564.1086582054,"Macao"
"277","Keke","M308","M","Bangui","Adulte","2",NA,-Inf,"Macao"
"278","Keke","M309","F","Bangui","Adulte","2",31564.1086582054,46458.2785981672,"Macao"
"279","Ngomo","M310","F","Mboule","Personne âgée","4",25569.0034955092,46096.5748835738,"Macao"
"280","Ngomo","M311","F","Mboule","Adulte","2",5041.43210744455,5041.43210744455,"Macao"
"281","Ngomo","M312","M","Bangui","Adulte","6",51956.8211764649,91874.0181963364,"Macao"
"282","Ngomo","M313","M","Bangui","Adulte","0",76528.8447892382,148698.18202572,"Macao"
"283","Ngomo","M314","F","Bangui","Adulte","1",5041.43210744455,5041.43210744455,"Macao"
"284","Ngomo","M315","M","Mboule","Adolescent","0",13936.771179343,22832.1102512414,"Macao"
"285","Ngomo","M316","M","Bangui","Adolescent","0",5041.43210744455,5041.43210744455,"Macao"
"286","Midiba","M317","M","Bangui","Adolescent","0",7724.90767664421,7724.90767664421,"Macao"
"287","Bayamoto","M318","M","Bangui","Personne âgée","4",25348.110436199,44234.2609490367,"Macao"
"288","Bayamoto","M319","F","Bangui","Personne âgée","3",25348.110436199,44234.2609490367,"Macao"
"289","Bayamoto","M321","F","Bangui","Adulte","4",6461.95992336132,6461.95992336132,"Macao"
"290","Bayamoto","M322","M","Bangui","Adulte","3",53952.2338638525,92941.9257121939,"Macao"
"291","Bayamoto","M323","M","Bangui","Adulte","0",6461.95992336132,6461.95992336132,"Macao"
"292","Bayamoto","M324","M","Bangui","Adolescent","2",6461.95992336132,6461.95992336132,"Macao"
"293","Bayamoto","M325","F","Bangui","Adolescent","1",6461.95992336132,6461.95992336132,"Macao"
"294","Lango","M326","F","Macao","Adulte","4",28829.4870227704,28829.4870227704,"Macao"
"295","Lango","M327","M","Zingo","Adulte","4",NA,-Inf,"Macao"
"296","Lango","M328","M","Zingo","Personne âgée","7",44315.6574604001,59801.8278980298,"Macao"
"297","Lango","M329","M","Macao","Adulte","4",28829.4870227704,28829.4870227704,"Macao"
"298","Lango","M330","M","Macao","Adulte","2",23804.033360523,28829.4870227704,"Macao"
"299","Mbila_MA","M331","M","Bangui","Personne âgée","2",23804.1627903042,28808.9602945663,"Macao"
