,X,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref,dist_bp_mom_bp,dist_living_mom_bp,dist_bp_dad_bp,dist_living_dad_bp,dist_living_own_bp,dist_living_mum_living,dist_living_dad_living,dist_bp_spouse_bp,dist_living_spouse_bp,dist_living_mum_inlaw_living,dist_living_dad_inlaw_living,dist_bp_mom_inlaw_bp,dist_living_mom_inlaw_bp,dist_bp_dad_inlaw_bp,dist_living_dad_inlaw_bp,camp_region.x,loc.x,people_number_2022.x,set_type
282,559,Kakelo6,M153,M,Bangui,Adulte,,11105.41551,92063.47728,Macao,Bandza,Bangui,,,Bangui,Bangui,Bangui,,,M154,50689.76183,40988.81813,0,11840.29787,11840.29787,NA,NA,0,11840.29787,NA,NA,0,11840.29787,0,11840.29787,C,F,30,forest_camp
284,561,Kakelo6,M104,F,Bangui,Adulte,2,11307.58222,145508.9765,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M103,0,11840.29787,0,11840.29787,11840.29787,NA,NA,0,11840.29787,NA,NA,0,11840.29787,0,11840.29787,C,F,30,forest_camp
285,562,Boua2,M136,F,Bangui,Adulte,,7371.680477,90648.67513,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M130,0,1874.172756,0,1874.172756,1874.172756,NA,NA,0,1874.172756,NA,NA,0,1874.172756,0,1874.172756,C,F,25,forest_camp
286,564,Movossovosso,M82,F,Bangui,Personne âgee,,10679.80333,95966.91579,Macao,Bangui,Bangui,,,,,,,,0,0,3939.024982,0,3939.024982,3939.024982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,2,forest_camp
287,565,Kakelo3,M141,F,Bangui,Personne âgee,,NA,#NAME?,Macao,,,,,,,,,,0,NA,NA,NA,NA,11105.41551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,11,forest_camp
289,569,Boua2,M71,F,Bangui,Adulte,2,11307.58222,95966.91579,Macao,Bangui,Bangui,,,Bangui,,Bangui,,,M70,0,1874.172756,0,1874.172756,1874.172756,NA,NA,0,1874.172756,NA,NA,NA,NA,0,1874.172756,C,F,25,forest_camp
290,574,Boua2,M70,M,Bangui,Adulte,7,11509.74892,162268.2931,Macao,,Bangui,,,,,,,,"M90,M71",NA,NA,0,1874.172756,1874.172756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,25,forest_camp
291,576,Molapa_MA,M18,M,Macao,Adulte,8,106011.1996,151752.9837,Macao,Macao,Macao,,,Bangui,Bangui,Bangui,,,M19,0,25618.66856,0,25618.66856,25618.66856,NA,NA,47606.64384,22094.66991,NA,NA,47606.64384,22094.66991,47606.64384,22094.66991,C,F,20,forest_camp
292,583,Bateke2,M14,M,Bangui,Adulte,0,47606.64384,162268.2931,Macao,Bangui,Bangui,,,Maca,,,,,M15,0,26986.30584,0,26986.30584,26986.30584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,7,forest_camp
293,590,Kakelo3,M148,F,Bangui,Adulte,,10742.06965,47606.64384,Macao,Bangui,Bangui,,,Bangui,Mboule,Mombelou,,,M140,0,11105.41551,0,11105.41551,11105.41551,NA,NA,0,11105.41551,NA,NA,620.9829719,11709.93852,NA,NA,C,F,11,forest_camp
294,591,Kakelo1,M95,F,Bangui,Personne âgee,,10804.33597,95966.91579,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M94,0,10804.33597,0,10804.33597,10804.33597,NA,NA,0,10804.33597,NA,NA,0,10804.33597,0,10804.33597,C,F,NA,forest_camp
295,592,Kakelo3,M98,M,Bangui,Adulte,2,47606.64384,127175.4169,Macao,Bangui,Bangui,Kakelo1,Kakelo1,,,,,,0,0,11105.41551,0,11105.41551,11105.41551,999.6899423,999.6899423,NA,NA,NA,NA,NA,NA,NA,NA,C,F,11,forest_camp
