,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref
105,Bokombo1,D193,M,Ikouangala,Adulte,NA,13058.47696,80744.6322,Dongou,NA,NA,NA,NA,Boucyboucy,Boucyboucy,NA,NA,Bokombo1,D196
106,Bokombo1,D194,F,Boucyboucy,Enfant,NA,11714.22673,11714.22673,Dongou,Boucyboucy,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
107,Bokombo1,D195,F,Ikouangala,Enfant,NA,12384.66179,14895.47617,Dongou,Boucyboucy,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
108,Bokombo1,D196,F,Boucyboucy,Adulte,3,5507.762328,74720.04786,Dongou,Boucyboucy,NA,Bokombo1,NA,Ikouangala,NA,NA,NA,NA,D193
109,Mabanga2,D197,F,Boucyboucy,Enfant,NA,5431.961333,5431.961333,Dongou,Manfouete,Manfouete,Mabanga2,Mabanga2,NA,NA,NA,NA,NA,0
110,Mabanga2,D198,M,Boucyboucy,Enfant,NA,2925.08006,5431.961333,Dongou,Manfouete,Manfouete,Mabanga2,Mabanga2,NA,NA,NA,NA,NA,0
111,Mabanga2,D199,M,Boucyboucy,Enfant,NA,2925.08006,5431.961333,Dongou,Manfouete,Manfouete,Mabanga2,Mabanga2,NA,NA,NA,NA,NA,0
112,Safou,D2,M,Impfondo,Enfant,NA,NA,#NAME?,Dongou,Losso,Mindjoukou,Safou,Safou,NA,NA,NA,NA,NA,0
113,Tangassi,D20,F,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Boucyboucy,Tangassi,Tangassi,NA,NA,NA,NA,NA,0
114,Mabanga2,D200,M,Manfouete,Adulte,8,36361.62125,55481.4052,Dongou,NA,NA,NA,NA,Manfouete,NA,NA,NA,NA,D204
115,Mabanga2,D201,M,Boucyboucy,Enfant,NA,2925.08006,5431.961333,Dongou,Manfouete,Manfouete,Mabanga2,Mabanga2,NA,NA,NA,NA,NA,0
116,Mabanga2,D202,F,Boucyboucy,Enfant,NA,2925.08006,5431.961333,Dongou,Manfouete,Manfouete,Mabanga2,Mabanga2,NA,NA,NA,NA,NA,0
117,Mabanga2,D203,M,Boucyboucy,Enfant,NA,5333.646775,28161.31211,Dongou,Manfouete,Manfouete,Mabanga2,Mabanga2,NA,NA,NA,NA,NA,0
118,Mabanga2,D204,F,Manfouete,Adulte,NA,35645.25558,38549.04251,Dongou,NA,NA,NA,NA,Manfouete,NA,NA,NA,NA,D200
119,Bele,D205,F,Dongou,Adulte,1,27580.10743,28161.31211,Dongou,NA,NA,NA,NA,Dongou,NA,NA,NA,NA,D207
120,Bele,D206,M,Boucyboucy,Enfant,NA,5458.60505,5583.563324,Dongou,Dongou,Dongou,Bele,Bele,NA,NA,NA,NA,NA,0
121,Bele,D207,M,Dongou,Adulte,NA,27587.59097,85789.71202,Dongou,NA,NA,NA,NA,Dongou,NA,NA,NA,NA,D205
122,Bele,D208,F,Boucyboucy,Enfant,NA,13268.85449,28161.31211,Dongou,Manfouete,NA,Bele,NA,NA,NA,NA,NA,NA,0
123,Bele,D209,M,Boleike,Adolescent,NA,8526.695111,35689.66378,Dongou,Manfouete,NA,Bele,NA,NA,NA,NA,NA,NA,0
124,Tangassi,D21,M,Boucyboucy,Enfant,NA,24557.72888,28161.31211,Dongou,Boucyboucy,Boucyboucy,Tangassi,Tangassi,NA,NA,NA,NA,NA,0
