ref,sex,birthplace,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
M99,F,Bangui,Macao,11567.8787,11567.8787,11567.8787,9,1,0,0,0,1,0,0,0,6
M24,M,Bangui,Macao,109043.328,109043.328,109043.328,1,1,0,0,0,0,0,0,0,0
M83,M,Bangui,Macao,10679.8033,10679.8033,10679.8033,3,1,0,0,0,1,0,0,0,1
M12,F,Macao,Macao,NA,NA,NA,2,0,0,0,0,1,0,0,0,0
M150,M,Macao,Macao,NA,NA,NA,8,0,0,2,0,3,0,1,0,0
M41,F,Pap,Macao,NA,NA,NA,3,0,1,0,0,0,0,0,0,0
M115,M,,Macao,11509.7489,11509.7489,11509.7489,4,1,0,0,0,1,0,0,0,0
M131,M,Bangui,Macao,NA,NA,NA,9,0,0,1,3,2,1,0,0,0
M25,F,Macao,Macao,NA,NA,NA,1,0,0,0,0,1,0,0,0,0
M137,F,Dongou,Macao,NA,NA,NA,5,0,0,0,1,1,0,0,1,2
M97,F,Bangui,Macao,NA,NA,NA,3,0,0,0,0,0,0,0,2,0
M172,F,Macao,Macao,NA,NA,NA,8,1,0,0,0,0,0,1,2,1
M122,F,Bangui,Macao,NA,NA,NA,5,0,0,0,0,1,0,1,1,1
M161,M,Bangui,Macao,NA,NA,NA,6,0,0,0,1,2,0,0,0,0
M89,M,Bangui,Macao,10679.8033,10679.8033,10679.8033,4,1,0,0,0,0,0,0,0,0
M1,F,Dongou,Macao,35003.7856,35003.7856,35003.7856,2,1,0,0,0,0,0,0,0,0
M107,M,Bayanga,Macao,NA,NA,NA,5,0,0,0,0,2,0,0,0,0
M7,M,Macao,Macao,NA,NA,NA,2,0,0,0,0,2,0,0,0,0
M33,M,Pap,Macao,NA,NA,NA,10,0,1,0,2,3,0,3,0,0
M37,M,Pap,Macao,NA,NA,NA,3,0,1,1,0,0,0,0,0,0
M55,M,Bangui,Macao,NA,NA,NA,5,1,0,0,0,1,0,1,0,0
